group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0004_r0000,7,80,"mail, jee unlawful, unlawful, unlawful mail, mail mail, mail jeevacation, jeevacation, jee, property jee, property, copies, jeevacation copies, trump, copies including, news"
docform_cluster,c0004_r0000,8,68,"clinton, know, island, jeffrey, trump, don know, said, time, heard, don, support, story, lots, world, sitting"
docform_cluster,c0004_r0000,4,57,"larry, trump, time, bannon, departure, politico, friday, pbi, jeffrey, beach, palm beach, palm, yes, meeting, boca"
docform_cluster,c0004_r0000,9,33,"landon, thomas, landon thomas, financial reporter, thomas financial, reporter new, times topics, york times, topics nytimes, topics, index, timestopics people, people landon, nytimes reference, timestopics"
docform_cluster,c0004_r0000,3,31,"york ny, avenue, richard, ny, richard kahn, kahn, new york, york, new, fax, hbrk associates, hbrk, associates lexington, floor new, avenue floor"
docform_cluster,c0004_r0000,1,29,"mr, epstein, jeffrey epstein, mr epstein, jeffrey, president, mr trump, tickets, case, filed, background, clinton, lifeball, easy, dinner"
docform_cluster,c0004_r0000,6,28,"unlawful received, received, property jee, jee, property, unlawful, jee unlawful, trump, ll, really, deal, great, skrev, skrev jeffrey, tell"
docform_cluster,c0004_r0000,0,23,"larrysummers, glhsummers larrysummers, glhsummers, larrysummers property, ref home, ref, breakdown, breakdown ref, trump psychiatric, thedailybeast close, psychiatric, close donald, psychiatric breakdown, property jee, jee"
docform_cluster,c0004_r0000,5,20,"michael, wolff, michael wolff, book, nymag, daily intelligencer, nymag daily, intelligencer, wolff fury, fury book, intelligencer michael, book donald, fury, daily, property jee"
docform_cluster,c0004_r0000,2,16,"dailymail, trump jeffrey, woman, dailymail news, news article, fabricated story, history drug, drug, drug claimed, age fabricated, woman history, history, fabricated, story html, claimed"
