group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0000_r0000,0,22,"archive, users jee, oot users, oot, library archive, library, jee library, jee, users, funny, hey, win, trump, op, college"
docform_cluster,c0000_r0000,1,13,"macintosh hd, macintosh, hd, hd oot, entr, entr macintosh, archive, users jee, library archive, library, users, jee, jee library, oot users, oot"
docform_cluster,c0001_r0000,3,25,"mail, property, unlawful, jee unlawful, make, property jee, jee, author, copies, science, jeevacation, american, don, net, scientists"
docform_cluster,c0001_r0000,1,23,"trump, president, house, white house, white, donald, donald trump, office, funding, chief, female, counsel, deputy, self, evolutionary"
docform_cluster,c0001_r0000,0,11,"article, article nyt, nyt, policy, foreign, foreign policy, israel, egypt, arab, al, syria, article washington, post, spring, washington"
docform_cluster,c0001_r0000,2,11,"new york, york, new, epstein, general, hotel, jeffrey epstein, jeffrey, schools, digital, notes, early, foundation, united, ny"
docform_cluster,c0002_r0000,0,52,"jeffrey, epstein, jeffrey epstein, trump, friend, new, people, said, right, time, mr, know, told, money, email"
docform_cluster,c0002_r0000,1,15,"fun, boris, windows mobile, windows, yes, mobile, boris nikolic, nikolic, great, mobile phone, tmr, phone, need, great fun, laugh"
docform_cluster,c0003_r0000,1,64,"trump, jeffrey, news, president, donald, clinton, time, new, donald trump, science, breaking, happy, road, said, left"
docform_cluster,c0003_r0000,0,22,"indyke, darren indyke, darren, new york, york, new, epstein, indyke pllc, pllc, jeff epstein, hoffenberg, jeff, steven, steven hoffenberg, york new"
docform_cluster,c0003_r0006,2,44,"trump, email, new, talk, donald trump, president, time, house, donald, science, news, don, post, jeffrey, ny"
docform_cluster,c0003_r0006,0,10,"landon, landon thomas, thomas, people, reporter new, york times, times, thomas financial, financial reporter, nytimes, new, financial, nytimes reference, index tml, thomas index"
docform_cluster,c0003_r0006,1,10,"epstein, jeffrey epstein, foxnews, jeffrey, mr, lawsuit, tonja haddad, tonja, haddad, case, offender, sex offender, ties, sex, mr weinberg"
docform_cluster,c0004_r0000,7,80,"mail, jee unlawful, unlawful, unlawful mail, mail mail, mail jeevacation, jeevacation, jee, property jee, property, copies, jeevacation copies, trump, copies including, news"
docform_cluster,c0004_r0000,8,68,"clinton, know, island, jeffrey, trump, don know, said, time, heard, don, support, story, lots, world, sitting"
docform_cluster,c0004_r0000,4,57,"larry, trump, time, bannon, departure, politico, friday, pbi, jeffrey, beach, palm beach, palm, yes, meeting, boca"
docform_cluster,c0004_r0000,9,33,"landon, thomas, landon thomas, financial reporter, thomas financial, reporter new, times topics, york times, topics nytimes, topics, index, timestopics people, people landon, nytimes reference, timestopics"
docform_cluster,c0004_r0000,3,31,"york ny, avenue, richard, ny, richard kahn, kahn, new york, york, new, fax, hbrk associates, hbrk, associates lexington, floor new, avenue floor"
docform_cluster,c0004_r0000,1,29,"mr, epstein, jeffrey epstein, mr epstein, jeffrey, president, mr trump, tickets, case, filed, background, clinton, lifeball, easy, dinner"
docform_cluster,c0004_r0000,6,28,"unlawful received, received, property jee, jee, property, unlawful, jee unlawful, trump, ll, really, deal, great, skrev, skrev jeffrey, tell"
docform_cluster,c0004_r0000,0,23,"larrysummers, glhsummers larrysummers, glhsummers, larrysummers property, ref home, ref, breakdown, breakdown ref, trump psychiatric, thedailybeast close, psychiatric, close donald, psychiatric breakdown, property jee, jee"
docform_cluster,c0004_r0000,5,20,"michael, wolff, michael wolff, book, nymag, daily intelligencer, nymag daily, intelligencer, wolff fury, fury book, intelligencer michael, book donald, fury, daily, property jee"
docform_cluster,c0004_r0000,2,16,"dailymail, trump jeffrey, woman, dailymail news, news article, fabricated story, history drug, drug, drug claimed, age fabricated, woman history, history, fabricated, story html, claimed"
docform_cluster,c0004_r0001,1,83,"darren, darren indyke, indyke, new, york, new york, property, pllc, indyke pllc, jeffrey, jeffrey epstein, epstein, property jeffrey, mail, obama"
docform_cluster,c0004_r0001,0,23,"deleted, federal, total deleted, pa, foi, foi pa, federal bureau, civil, bureau, civil action, action, total, cv, bureau foi, pa deleted"
docform_cluster,c0004_r0002,0,25,"able, book, sense, time, know, people, patterson, want, say, things, questions, big, frame, make, deal resent"
docform_cluster,c0004_r0002,4,21,"new york, york, new, night, morning, avenue, face, york ny, tel, went, true, avenue floor, floor, lexington, lexington avenue"
docform_cluster,c0004_r0002,5,19,"epstein, case, jeffrey epstein, epstein case, jeffrey, nominee, handling, attorney, barr, look handling, look, miami, julie brown, julie, prosecutor"
docform_cluster,c0004_r0002,6,19,"bannon, steve, steve bannon, president, supreme court, supreme, court justice, justice, michael, called, bob, court, battle, chief, president trump"
docform_cluster,c0004_r0002,7,17,"trump, donald, donald trump, michael, house, white, white house, president, melania, foreign, congressional, counsel, lawyer, clinton, national"
docform_cluster,c0004_r0002,1,15,"poetry, poetry america, america, woody, jeffrey, harvard, footage, proposal, lisa, letter, initiative, asking, needs, new, templeton"
docform_cluster,c0004_r0002,2,12,"mr, mr epstein, epstein, email, contact, article, jeffrey epstein, number, concerning, concerning article, guardian, guardian newspaper, preparing publication, newspaper london, epstein client"
docform_cluster,c0004_r0002,8,12,"obama, world, east, middle, middle east, gates, jim, public, israel, president obama, schools, president, dubai, israeli, global"
docform_cluster,c0004_r0002,3,11,"states, investment, rothschild, funds, united, united states, ariane, debt, fund, nuclear, iran, majority, money, ariane rothschild, macro"
docform_cluster,c0004_r0003,0,54,"market, global, investment, equity, growth, tech, continue, report, day, financials, research, term, past, stock, sector"
docform_cluster,c0004_r0003,4,43,"epstein, jeffrey, jeffrey epstein, palm, palm beach, beach, sex, trump, new, case, kathy, ruemmler, real estate, estate, real"
docform_cluster,c0004_r0003,3,28,"office, united states, united, states, washington, trump, cell, bannon, weinberg, martin weinberg, donald, martin, best, ma, phone"
