docform_cluster	docform_cluster_prob	doc_family	ext	extraction_method	doc_id	sha256	source_root	rel_path	text_path	size_bytes	n_chars	n_lines	digit_ratio	upper_ratio	email_count	phone_like_count	date_like_count	money_like_count	preview_snip	punct_ratio	colon_ratio	header_line_ratio	unique_line_ratio	repeated_line_max_frac	docform_coarse_chargrams
c0000_r0000	1.0	text	.txt	textlike	05cdfbe63af642937d05f817	05cdfbe63af642937d05f8175ff79855a2cf91385ca88b69577f6b49d1b58275	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025403.txt	cache/fulltext/05cdfbe63af642937d05f817.txt.gz	4983	4983	179	0.2398153722657034	0.1597431266305438	11	31	27	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2019-02-03\ \r\non 2018-12-03 at 08.29.43.ichat \r\nService: iMessage \r\nStart Time: 11/29/18 08:43:11 AM (565202591) \r\nEnd Time: 02/03/19 08:20:29 AM (570903629) \r\nL	0.1030391340549542	0.04787676935886761	0.8547486033519553	0.5251396648044693	0.12849162011173185	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	fc97af0c24670e95a29d9e70	fc97af0c24670e95a29d9e702e85189ce6da1cbc71236194886070febd936fbb	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027225.txt	cache/fulltext/fc97af0c24670e95a29d9e70.txt.gz	7133	7133	239	0.2205243235665218	0.1533716528809757	18	41	35	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2017-04-09\1111 \r\non 2017-04-09 at 03.50.22.ichat \r\nService: iMessage \r\nStart Time: 04/09/17 12:50:22 AM (513417022) \r\nEnd Time: 04/09/17 08:12:43 AM (513443563) \	0.10226283724978243	0.044821583986074845	0.8870292887029289	0.5188284518828452	0.1297071129707113	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	8d221600ee4f4bdd0fad1ed8	8d221600ee4f4bdd0fad1ed88e0f0b82948c5fea8533cf142d5f199c02717f96	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027278.txt	cache/fulltext/8d221600ee4f4bdd0fad1ed8.txt.gz	3703	3703	114	0.1933567377801782	0.1325951930866864	7	19	17	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-06-16\Terje \r\non 2018-06-09 at 17.38.08.ichat \r\nService: iMessage \r\nStart Time: 06/09/18 02:38:08 PM (550273088) \r\nEnd Time: 06/16/18 06:50:37 AM (550849837) 	0.08860406798551128	0.03789356366675954	0.7982456140350878	0.5877192982456141	0.11403508771929824	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	89120485dc84041d40963010	89120485dc84041d40963010a0ec737aeccd5e58fffd3ab486cc121fbda9081c	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027401.txt	cache/fulltext/89120485dc84041d40963010.txt.gz	5431	5431	197	0.2529920824894126	0.1607438777389062	13	43	30	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-08-23\Eva on 2018-08-19 at \r\n01.17.51. ichat \r\nService: iMessage \r\nStart Time: 08/18/18 10:17:51 PM (556348671) \r\nEnd Time: 08/23/18 07:20:19 AM (556726819) \	0.10622850592281238	0.049293083683607186	0.9137055837563451	0.5228426395939086	0.1319796954314721	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	307416a3fad92f80b40ee02e	307416a3fad92f80b40ee02e849dbc40c1bc03518d222e92f640ca7526372467	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027244.txt	cache/fulltext/307416a3fad92f80b40ee02e.txt.gz	4631	4631	146	0.2092420643489527	0.1347441157417404	9	30	21	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2017-06-3011. \r\npn 2017-06-30 at 07.39.58.ichat \r\nService: IMessage \r\nStart Time: 06/30/17 04:39:58 AM (520515598) \r\nEnd Time: 06/30/17 11:08:53 AM (520538933) \r\	0.09542920847268674	0.04080267558528428	0.8493150684931506	0.5616438356164384	0.1232876712328767	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	a2d61543ec43f2aecf872c33	a2d61543ec43f2aecf872c33c46d6b21f894547590e43418559eb6c2a8846ac4	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027255.txt	cache/fulltext/a2d61543ec43f2aecf872c33.txt.gz	2685	2683	84	0.219903093551994	0.1323145732389116	8	17	14	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-01-25\Terje on 2018-01-25 at \r\n07.15.20.ichat \r\nService: iMessage \r\nStart Time: 01/25/18 04:15:20 AM (538575320) \r\nEnd Time: 01/25/18 12:59:02 PM (538606742) 	0.09657560600230858	0.04232397075798384	0.8928571428571429	0.6309523809523809	0.11904761904761904	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	763c22c1ef346d5563bdc3f1	763c22c1ef346d5563bdc3f1fffc327bb0df4465547be32c0ca99b0ba816e9db	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027455.txt	cache/fulltext/763c22c1ef346d5563bdc3f1.txt.gz	4907	4907	164	0.2276339922559608	0.1475443244344813	11	30	24	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-10-24111 \r\non 2018-09-29 at 15.27.26.ichat \r\nService: iMessage \r\nStart Time: 09/29/18 12:11:39 PM (559941099) \r\nEnd Time: 10/24/18 08:56:58 AM (562089418) \r\	0.09909340080118069	0.04490828589500316	0.8780487804878049	0.5487804878048781	0.12804878048780488	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	bbc10d190ff902ddf8b8d32b	bbc10d190ff902ddf8b8d32be09de5cade0d843b06fcdb11f9b2b6bece8f9deb	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027330.txt	cache/fulltext/bbc10d190ff902ddf8b8d32b.txt.gz	1882	1882	68	0.2492029755579171	0.1540913921360255	5	13	12	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-07-17\III \r\non 2018-07-17 at 11.18.23.ichat \r\nService: iMessage \r\nStart Time: 07/17/18 08:18:23 AM (553533503) \r\nEnd Time: 07/17/18 08:30:48 PM (553577448) \r	0.10859977949283352	0.04906284454244763	0.8676470588235294	0.6764705882352942	0.11764705882352941	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	7e28bd265bf2703f7310e79f	7e28bd265bf2703f7310e79f1ec9036e7b35643f4387950176dff6c94fba3474	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025423.txt	cache/fulltext/7e28bd265bf2703f7310e79f.txt.gz	2780	2780	91	0.2273381294964029	0.1399280575539568	5	20	14	0	Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2019-02-25111 \r\non 2019-02-12 at 06.29.59.ichat \r\nService: iMessage \r\nStart Time: 02/25/19 05:04:24 PM (572835864) \r\nEnd Time: 02/25/19 08:49:24 PM (572849364) \r\	0.09297136481963555	0.04313871327631089	0.8461538461538461	0.6043956043956044	0.12087912087912088	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
c0000_r0000	1.0	text	.txt	textlike	8ea0d161e21af3855625e07a	8ea0d161e21af3855625e07ab9b00cae9a862c3123fd853e60287fce4a5b91a0	TEXT-20251116T222102Z-1-001	TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027250.txt	cache/fulltext/8ea0d161e21af3855625e07a.txt.gz	5208	5208	174	0.2233102918586789	0.1453533026113671	13	34	25	0	Source Entr: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2017-10-201.11 \r\non 2017-10-20 at 14.42.35.ichat \r\nService: iMessage \r\nStart Time: 10/09/17 09:15:23 AM (529258523) \r\nEnd Time: 10/20/17 11:42:35 AM (530217755) \r\	0.09634485498609456	0.04429876837504966	0.867816091954023	0.5517241379310345	0.12643678160919541	:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
