group_col,group_value,topic_cluster,topic_size,keywords
ALL,ALL,22,143,"york, new york, new, steptoe, ii, thnx, street, man, llp, york times, want, kuwait, york new, east street, americas new"
ALL,ALL,7,79,"palm, beach, palm beach, paralegal, west palm, florida, certified, west, girls, police, critton, house, registered, county, fl"
ALL,ALL,23,72,"white house, white, house, president, pardon, advisors, trumps, counsel, attorney general, populist, bond, washington, king, seeking, general"
ALL,ALL,53,53,"paris, anytime, phone, fingers, hows, great, talk, needs edit, understand, times, upstairs, fingers crossed, circa, math, crossed"
ALL,ALL,25,53,"dinner, tickets, check, chance, shot, president, lifeball, dinner president, easy, pulled, lives, need, approved, country, change"
ALL,ALL,14,47,"china, chinese, trade, war, beijing, bbc, leaders, cnn, road, new, economic, closer truth, cn, world, percent"
ALL,ALL,34,44,"case, case cv, filed, cv, nominee, miami, victims, acosta, filed case, herald, department, virgin islands, justice, virgin, attorneys"
ALL,ALL,30,39,"article, foreign policy, foreign, policy, article nyt, washington post, post, nyt, washington, peace, israel, president, dubai, middle, trumps"
ALL,ALL,15,38,"science, american, ehnbom, barbro ehnbom, barbro, forbes, scientists, life, summit, happy, yes, donor, trumps, new, leslie"
ALL,ALL,54,36,"island, schedule, lots, running, gambino, details, silly, brain initiative, sitting, funny, totally, want, bad, brain, husband"
ALL,ALL,4,35,"asu, arizona, space exploration, professor, exploration, earth, university, physics, space, director, school, foundation, state, initiative, department"
ALL,ALL,16,34,"poetry, harvard, america, harvard university, cambridge, teachers, yo, university, ma, elisa, education, professor, school, public television, new"
ALL,ALL,35,34,"say, prime, prime minister, minister, harder, school, budget, penny, fiction, ha, really, high school, wholly, unexpected, girl"
ALL,ALL,38,34,"tax, total, rate, loss, recently, million, changes, basis, wall, wall street, long term, men, treatment, managers, value"
ALL,ALL,45,33,"help, birthday, left, gave money, best jonathan, plenty, jonathan, dated, appreciate, need, writes, life, dated writes, support, people"
ALL,ALL,37,32,"classification, false, photo, reasons, allegations, losing, ridiculous, personal, laugh, checking, attacks, tokyo, strauss, posting, story days"
ALL,ALL,56,31,"book, patterson, new book, presents, frame, competing, documentary, august, pursued, penalty, able, published, book writing, shouldnt, accusations"
ALL,ALL,13,31,"internet, magazine, banking, course, remembering, footage, online, changing, hired, ukraine, considered, ball, examples, male, active"
ALL,ALL,55,30,"comey, rich, marc, city, property, atlantic city, hooker, month, tropic, income, money, mara lago, shuttle, casino, cash"
ALL,ALL,18,29,"peace, diana, plant, trip, jean, visit, hold, saudi, meeting, yemen, cuba, tr, house, leaders, summit"
ALL,ALL,26,29,"lawyer, london, hes, article, finds, attempts, publication, dealing, concerning, interesting, advise, stupid, client, nut, deutsch"
ALL,ALL,33,29,"sex, lawsuit, sex offender, offender, foxnews, victims, epsteins, scandal, edwards, apps, pedophile, fox, financier, civil lawsuit, orgies"
ALL,ALL,9,28,"digital, general, vs, chapter, age, polls, election, pbi, boca, passengers, knowledge, palantir, arrival, sense, news"
ALL,ALL,51,27,"want, thats, person, lift, klein, coherent, bannons, rational, nationalist, consider, happy, populist, world, platform, business"
ALL,ALL,29,26,"law, suit, surely, california, representing, law firm, firm, potus, shocking, gross, theres, lawsuit, sexually, break, print"
ALL,ALL,6,26,"boeing, keen, deal, operation, disregard, deal dead, worth, dead, interview, connection, explore, sale, save, subject, possibility"
ALL,ALL,49,25,"financials, rates, equity, hedge, majority, ens, usd, amanda, macro, funds, market, fund, upside, report, report report"
ALL,ALL,41,24,"win, auto correct, auto, authored auto, authored, nyt, calls, guy, markets, speak, places, doing book, technologies, market, moving"
ALL,ALL,27,24,"wall, wall street, journal, street journal, street, article, prosecutors, federal prosecutors, turkish, wsj, arab, tech, reported, exchange, administration"
ALL,ALL,50,24,"stuff, thinks, smart, similar, sound, wow, joi ito, ito, stay end, sympathetic, memoir, barrel, credible, adversary, player"
ALL,ALL,47,22,"managing, director, investment, division, global, budget, management, tax, bank, investment strategy, affairs, group, marrakech, public, strategy"
ALL,ALL,42,22,"stock, market, stock market, tied, saudis, money, funds, saudi, puts, sama, ceos, big, envelope, ups, investor"
ALL,ALL,43,22,"breaking news, news, breaking, daily news, daily, working forwarding, longer working, handle, fit, conspiracy, forwarding, howard, bo, recording, star"
ALL,ALL,44,22,"women, young, people, terrific, beautiful women, info, likes, known, bbb, younger, lot, beautiful, sweden, people tml, tml"
ALL,ALL,0,22,"deleted, pa, cv, total, civil, action, federal, investigation, duplicate, referral, investigation federal, direct, ww, inv, sealed"
ALL,ALL,20,22,"debate, negative, data, positive, winning, popular, tweets, report, neutral, social media, analyze, million, regards, election, states"
ALL,ALL,17,22,"mar road, del, del mar, carlsbad, road carlsbad, road, mar, secret, foundation, russian, md, astonishing, dna, power, weak"
ALL,ALL,10,22,"departure, tsa, pbi, arrival, called, flown, inspection, points, procedures, market, depart, ii, tc, gv, model"
ALL,ALL,11,22,"fall, supreme, supreme court, sec, breakfast, politicians, taped, mayor, justice, evidence, court, sir, kissinger, president, state"
ALL,ALL,46,21,"self, deception, rest, twice, uh, reflection, whoops, story, hero, gov, mean, bullshit, jewish, versus, guy"
ALL,ALL,8,21,"pbi, ties, mark, palm, arrive, elect, president elect, los angeles, los, angeles, clintons, ipad, palm house, counselor, arrive pbi"
ALL,ALL,2,20,"pllc, property pllc, property, unlawful, victims, victims suit, suit filing, filing, online, suit, video, daily, child rapes, victims explain, book writing"
ALL,ALL,40,20,"real estate, estate, real, trumps, compound, great, business, money, shady, launderers, laundering, somebody, woes, degrees, wholly"
